chisq_1502,m_{\chi_1^0} (GeV),m_1 (GeV),m_2 (GeV),tan \beta,\mu (GeV),\Omega_{\chi}h^2,\sigma_{SI},\sigma_v (Km/s),A_t (GeV),m_A (Ge V),m_Q3 (GeV
38.3435520885,88.098626800000005,92.3972939777,103.058155079,5.82749348147,412.093036511,7.4645044083283957E-002,8.4814520080471E-46,9.1088613840778794E-027,-3.73716211E+03,-2.73312817E+03,3.05296961E+03
36.9041830285,92.842463199999997,96.8442279744,108.184053569,5.03280435123,463.4532319,9.5721312083058521E-002,9.048268079439E-46,8.7729042982180545E-027,-3.77440649E+03,-2.88838295E+03,3.20684495E+03
37.0162081306,92.992234199999999,97.1194281877,112.396728193,5.51433555002,383.009782547,0.10609646223082869,1.4166001594897E-45,1.1111971299610415E-026,3.63397424E+03,3.7652508E+03,-3.27317282E+03
37.606243289,96.363920199999995,114.4254793,-307.019040988,26.1918291769,-129.521786505,0.10187596176753791,5.9746730327497E-46,1.4282025702445608E-026,-1.35756687E+03,6.9043706E+02,-3.58745568E+03
38.0172585224,94.347182399999994,97.5276836412,109.98468446,9.35197658615,374.361360143,0.12621176607241663,1.0173077557196E-45,7.1907835452451210E-027,-3.67156207E+03,-1.92591489E+03,-1.3682652E+03
38.3678478655,93.610097100000004,96.4385074745,106.413358142,6.9449160963,435.721206881,8.3450343766951082E-002,6.6827718406474E-46,8.5459823350373445E-027,3.28793596E+03,1.16288574E+03,1.51972221E+03
39.4110873857,175.34230099999999,173.498552164,-364.226975393,26.4362700488,1708.13564331,0.18869024232957643,9.6695417828096E-49,9.5993949319725962E-027,3.21576023E+03,-3.67746957E+03,-3.50155924E+03
39.365468226,185.25521699999999,184.207290324,-268.342238057,44.5998802138,654.370563983,7.5179525527750118E-002,2.4166168140647E-47,2.1275324608555266E-026,3.13523607E+03,-3.70809414E+03,-3.56077097E+03
37.0047324053,175.84245500000000,174.049086082,-224.457730161,26.992563954,1421.5708098,0.16267831828564422,1.775535799166E-48,1.0603746832146505E-026,-3.48474454E+03,3.69712535E+03,-3.17019274E+03
37.9426985683,89.772548799999996,93.5907629698,103.685812211,6.60639595174,417.845080426,7.9628712787640499E-002,6.9613447556371E-46,8.5081265713042513E-027,-3.76308382E+03,-2.81993423E+03,3.06206403E+03
