Chi-squared (1502.05703),M_dm,~chi_10 (MASS),M1 (MSOFT),M2 (MSOFT),tanbeta (HMIX),mu (HMIX),\Omega_{\chi}h^2,\sigma_{SI proton} (pb),\sigma_v (Km/s),At (Yd),MA (HMIX),M_q3L (MSOFT)
Chi-squared (1502.05703),Dark matter mass (Gev),Neutralino mass (GeV),Bino mass (GeV),Wino mass (GeV),tan \beta,Higgsino mass (GeV),Relic density,Spin independent cross section,\sigma_v (Km/s),Trilinear coupling top (GeV),Pseudoscalar Higgs mass (GeV),Left handed 3rd generation squark mass (GeV)
Statistic,Observable,Particle,Model parameter,Model parameter,Model parameter,Model parameter,Observable,Observable,Observable,Model parameter,Model parameter,Model parameter
39,9.51E+01,9.51E+01,9.90E+01,1.10E+02,5.41E+00,4.53E+02,8.87E-02,8.25024E-10,9.94E-27,-3.72E+03,-2.72E+03,3.12E+03
38,8.81E+01,8.81E+01,9.24E+01,1.03E+02,5.83E+00,4.12E+02,7.46E-02,8.48145E-10,9.11E-27,-3.74E+03,-2.73E+03,3.05E+03
37,9.28E+01,9.28E+01,9.68E+01,1.08E+02,5.03E+00,4.63E+02,9.57E-02,9.04827E-10,8.77E-27,-3.77E+03,-2.89E+03,3.21E+03
37,9.30E+01,9.30E+01,9.71E+01,1.12E+02,5.51E+00,3.83E+02,0.106096462,1.4166E-09,1.11E-26,3.63E+03,3.77E+03,-3.27E+03
38,9.64E+01,9.64E+01,1.14E+02,-3.07E+02,2.62E+01,-1.30E+02,0.101875962,5.97467E-10,1.43E-26,-1.36E+03,6.90E+02,-3.59E+03
38,9.43E+01,9.43E+01,9.75E+01,1.10E+02,9.35E+00,3.74E+02,0.126211766,1.01731E-09,7.19E-27,-3.67E+03,-1.93E+03,-1.37E+03
38,9.36E+01,9.36E+01,9.64E+01,1.06E+02,6.94E+00,4.36E+02,8.35E-02,6.68277E-10,8.55E-27,3.29E+03,1.16E+03,1.52E+03
39,1.75E+02,1.75E+02,1.73E+02,-3.64E+02,2.64E+01,1.71E+03,0.188690242,9.66954E-13,9.60E-27,3.22E+03,-3.68E+03,-3.50E+03
39,1.85E+02,1.85E+02,1.84E+02,-2.68E+02,4.46E+01,6.54E+02,7.52E-02,2.41662E-11,2.13E-26,3.14E+03,-3.71E+03,-3.56E+03
37,1.76E+02,1.76E+02,1.74E+02,-2.24E+02,2.70E+01,1.42E+03,0.162678318,1.77554E-12,1.06E-26,-3.48E+03,3.70E+03,-3.17E+03
38,8.98E+01,8.98E+01,9.36E+01,1.04E+02,6.61E+00,4.18E+02,7.96E-02,6.96134E-10,8.51E-27,-3.76E+03,-2.82E+03,3.06E+03
40,1.81E+02,1.81E+02,-1.84E+02,-4.94E+02,5.46E+00,2.69E+02,0.168965114,1.59257E-10,1.26E-26,3.52E+03,-4.72E+02,1.93E+03
36,8.91E+01,8.91E+01,9.24E+01,1.03E+02,5.74E+00,4.40E+02,8.78E-02,8.76171E-10,7.51E-27,3.24E+03,1.15E+03,1.56E+03
37,1.79E+02,1.79E+02,-1.76E+02,-3.69E+02,1.94E+01,1.27E+03,0.145384444,4.21681E-13,1.23E-26,2.18E+03,3.68E+03,-1.98E+03
40,9.38E+01,9.38E+01,9.78E+01,1.16E+02,9.16E+00,3.30E+02,0.196316391,2.77112E-09,6.39E-27,3.23E+03,1.04E+03,1.70E+03
37,9.22E+01,9.22E+01,9.63E+01,1.11E+02,1.03E+01,3.34E+02,0.153742953,1.53355E-09,6.84E-27,-3.80E+03,-2.74E+03,3.09E+03
40,9.68E+01,9.68E+01,1.01E+02,1.14E+02,1.01E+01,3.27E+02,6.88E-02,9.57612E-10,1.75E-26,-3.85E+03,-2.80E+03,3.10E+03
38,9.45E+01,9.45E+01,9.92E+01,1.12E+02,6.28E+00,3.80E+02,7.87E-02,1.08785E-09,1.42E-26,-3.72E+03,-2.72E+03,3.04E+03
40,1.81E+02,1.81E+02,1.80E+02,-5.81E+02,1.03E+01,8.95E+02,0.215472881,5.76442E-11,1.03E-26,-4.11E+03,1.81E+03,2.70E+03
40,1.86E+02,1.86E+02,1.85E+02,-2.02E+02,1.39E+01,7.48E+02,8.53E-02,2.61554E-11,2.08E-26,3.22E+03,3.11E+03,3.21E+03
39,1.84E+02,1.84E+02,1.83E+02,-2.19E+02,1.50E+01,8.55E+02,0.143563041,2.70979E-11,1.57E-26,3.20E+03,-3.78E+03,-3.60E+03
38,1.82E+02,1.82E+02,1.80E+02,-2.35E+02,1.87E+01,1.13E+03,0.160322343,8.64618E-12,1.39E-26,3.07E+03,-3.69E+03,-3.48E+03
39,1.85E+02,1.85E+02,1.83E+02,-2.84E+02,2.89E+01,1.64E+03,0.169530556,1.10118E-12,1.32E-26,-3.41E+03,3.71E+03,-3.28E+03
37,1.78E+02,1.78E+02,1.76E+02,-6.00E+02,2.25E+01,9.94E+02,0.101021113,6.07305E-11,1.55E-26,-3.30E+03,-5.99E+02,-3.45E+03
33,8.70E+01,8.70E+01,1.09E+02,-3.79E+02,2.39E+01,-1.14E+02,0.103495279,7.92422E-10,9.44E-27,-1.33E+03,6.73E+02,-3.62E+03
35,8.97E+01,8.97E+01,9.41E+01,1.08E+02,1.17E+01,3.12E+02,0.12769899,1.49881E-09,7.64E-27,-3.77E+03,-2.78E+03,3.10E+03
39,1.84E+02,1.84E+02,1.83E+02,-5.98E+02,2.98E+01,9.02E+02,9.84E-02,9.79465E-12,1.89E-26,3.42E+03,3.19E+03,3.26E+03
39,9.54E+01,9.54E+01,9.92E+01,1.12E+02,6.70E+00,4.09E+02,0.140640708,1.18889E-09,7.00E-27,-3.84E+03,-2.83E+03,3.17E+03
39,1.86E+02,1.86E+02,1.84E+02,3.60E+02,7.68E+00,2.69E+03,0.107912233,5.6626E-13,1.65E-26,-3.33E+03,3.43E+03,-3.10E+03
37,1.79E+02,1.79E+02,-1.77E+02,3.06E+02,7.94E+00,4.62E+02,0.104290619,6.86609E-12,1.55E-26,3.64E+03,-3.86E+03,-3.62E+03
36,8.76E+01,8.76E+01,9.11E+01,1.03E+02,6.81E+00,3.93E+02,0.10523676,1.17339E-09,6.25E-27,3.28E+03,1.10E+03,1.70E+03
37,9.51E+01,9.51E+01,1.11E+02,-6.66E+02,1.58E+01,-1.29E+02,0.12162102,9.03728E-10,1.14E-26,-3.45E+03,-6.13E+02,1.07E+03
37,1.79E+02,1.79E+02,1.76E+02,4.76E+02,2.06E+01,1.16E+03,0.17680074,1.67621E-11,1.21E-26,2.08E+03,1.21E+03,-1.61E+03
39,1.84E+02,1.84E+02,-1.83E+02,5.68E+02,4.09E+01,6.78E+02,0.202973737,5.11631E-13,1.13E-26,3.28E+03,1.29E+03,3.07E+03
36,1.75E+02,1.75E+02,-1.73E+02,9.01E+02,1.35E+01,2.06E+03,0.139226033,1.94494E-12,1.09E-26,3.67E+03,-3.83E+03,-3.67E+03
37,1.79E+02,1.79E+02,-1.77E+02,4.67E+02,3.39E+01,9.75E+02,0.171188594,8.98721E-13,1.20E-26,3.12E+03,1.33E+03,3.08E+03
39,1.85E+02,1.85E+02,-1.81E+02,-5.54E+02,6.27E+00,1.59E+03,0.19463921,8.92638E-12,1.16E-26,3.54E+03,3.60E+03,3.26E+03
38,9.43E+01,9.43E+01,9.72E+01,1.14E+02,5.11E+00,-1.65E+02,9.05E-02,4.66497E-10,1.22E-26,-3.74E+03,-1.93E+03,-1.27E+03
38,9.12E+01,9.12E+01,9.38E+01,1.04E+02,7.26E+00,4.36E+02,9.67E-02,5.53263E-10,6.37E-27,3.74E+03,3.79E+03,-3.21E+03
39,9.98E+01,9.98E+01,-1.13E+02,4.99E+02,1.32E+01,1.42E+02,0.200248678,3.64985E-10,7.57E-27,-3.51E+03,-4.86E+02,3.54E+03
36,1.76E+02,1.76E+02,-1.74E+02,-4.98E+02,1.18E+01,1.25E+03,9.66E-02,2.68469E-12,1.28E-26,2.86E+03,1.25E+03,3.04E+03
36,9.16E+01,9.16E+01,9.50E+01,1.07E+02,5.16E+00,4.47E+02,0.103501664,1.16346E-09,8.27E-27,3.15E+03,1.06E+03,1.52E+03
37,1.79E+02,1.79E+02,1.77E+02,-3.18E+02,4.87E+01,1.22E+03,0.162379962,3.31512E-12,1.29E-26,3.14E+03,-3.39E+03,-2.78E+03
37,8.97E+01,8.97E+01,9.35E+01,1.08E+02,6.96E+00,3.74E+02,0.146966447,1.79244E-09,6.23E-27,3.23E+03,1.10E+03,1.76E+03
40,9.65E+01,9.65E+01,9.98E+01,1.11E+02,6.13E+00,4.40E+02,9.34E-02,7.93595E-10,9.41E-27,-3.63E+03,-2.07E+03,-1.31E+03
39,9.84E+01,9.84E+01,1.14E+02,-4.88E+02,1.59E+01,-1.37E+02,0.152025195,1.34024E-09,1.00E-26,-1.34E+03,6.36E+02,-3.61E+03
40,1.87E+02,1.87E+02,-1.84E+02,2.23E+02,3.12E+01,1.67E+03,0.103726091,3.28616E-12,1.68E-26,2.97E+03,1.02E+03,3.11E+03
39,1.83E+02,1.83E+02,-1.81E+02,3.67E+02,1.90E+01,1.04E+03,0.111204831,3.96756E-14,1.49E-26,3.58E+03,-3.56E+03,-2.56E+03
37,9.35E+01,9.35E+01,9.82E+01,1.13E+02,5.28E+00,4.03E+02,0.133230158,1.71358E-09,8.63E-27,-3.89E+03,-2.89E+03,3.13E+03
38,1.82E+02,1.82E+02,1.81E+02,-2.87E+02,2.35E+01,5.58E+02,0.201414646,1.38137E-10,1.14E-26,3.73E+03,-3.96E+03,2.81E+03
39,1.83E+02,1.83E+02,-1.84E+02,-8.02E+02,9.11E+00,2.97E+02,0.175914846,7.43053E-10,1.29E-26,2.39E+03,-2.82E+03,-2.30E+03
38,9.07E+01,9.07E+01,9.37E+01,1.05E+02,6.66E+00,4.25E+02,0.117884397,1.0183E-09,6.19E-27,3.22E+03,1.12E+03,1.47E+03
33,8.76E+01,8.76E+01,1.11E+02,-3.68E+02,2.68E+01,-1.13E+02,8.97E-02,5.10712E-10,1.14E-26,-1.34E+03,6.67E+02,-3.64E+03
