Chi-squared (1502.05703),M_dm,~chi_10 (MASS),M1 (MSOFT),M2 (MSOFT),tanbeta (HMIX),mu (HMIX),\Omega_{\chi}h^2,\sigma_{SI proton} (pb),\sigma_v (Km/s),At (Yd),MA (HMIX),M_q3L (MSOFT)
Chi-squared (1502.05703),Dark matter mass (Gev),Neutralino mass (GeV),Bino mass (GeV),Wino mass (GeV),tan \beta,Higgsino mass (GeV),Relic density,Spin independent cross section,\sigma_v (Km/s),Trilinear coupling top (GeV),Pseudoscalar Higgs mass (GeV),Left handed 3rd generation squark mass (GeV)
Statistic,Observable,Particle,Model parameter,Model parameter,Model parameter,Model parameter,Observable,Observable,Observable,Model parameter,Model parameter,Model parameter
30,8.64E+01,8.64E+01,-1.07E+02,3.57E+02,2.11E+01,1.13E+02,0.103667875,1.27684E-09,8.62E-27,-1.71E+03,7.08E+02,1.95E+03
31,8.64E+01,8.64E+01,-1.10E+02,3.93E+02,2.36E+01,1.10E+02,8.05E-02,6.98654E-10,1.12E-26,3.50E+03,6.99E+02,-2.64E+03
31,8.64E+01,8.64E+01,-1.10E+02,3.53E+02,3.04E+01,1.11E+02,8.24E-02,3.05114E-10,1.06E-26,3.39E+03,6.81E+02,-2.70E+03
31,8.64E+01,8.64E+01,-1.07E+02,3.49E+02,1.47E+01,1.12E+02,8.89E-02,9.05879E-10,9.42E-27,3.47E+03,6.13E+02,-2.77E+03
31,8.64E+01,8.64E+01,-1.08E+02,3.72E+02,2.64E+01,1.11E+02,8.12E-02,7.45159E-10,1.10E-26,2.68E+03,1.16E+03,-8.78E+02
31,8.63E+01,8.63E+01,-1.06E+02,3.12E+02,1.30E+01,1.13E+02,9.52E-02,2.39424E-10,8.14E-27,3.91E+03,4.62E+02,-3.11E+03
31,8.64E+01,8.64E+01,-1.08E+02,3.58E+02,1.84E+01,1.11E+02,8.70E-02,3.97124E-10,9.88E-27,3.47E+03,5.59E+02,-2.78E+03
31,8.64E+01,8.64E+01,-1.10E+02,4.20E+02,3.62E+01,1.10E+02,7.85E-02,6.08946E-10,1.20E-26,2.57E+03,1.22E+03,-8.81E+02
30,8.64E+01,8.64E+01,-1.07E+02,3.90E+02,2.94E+01,1.13E+02,0.108523001,1.30992E-09,8.62E-27,2.64E+03,1.39E+03,-8.83E+02
30,8.64E+01,8.64E+01,-1.07E+02,3.38E+02,3.91E+01,1.13E+02,0.103045084,9.88E-10,8.75E-27,2.56E+03,1.14E+03,-9.09E+02
31,8.63E+01,8.63E+01,-1.08E+02,3.60E+02,3.15E+01,1.13E+02,0.10834367,3.31489E-10,8.35E-27,3.49E+03,6.88E+02,-2.65E+03
30,8.63E+01,8.63E+01,-1.08E+02,3.54E+02,2.32E+01,1.13E+02,0.10056561,2.57594E-10,8.77E-27,3.54E+03,5.85E+02,-2.59E+03
31,8.64E+01,8.64E+01,-1.09E+02,3.18E+02,2.72E+01,1.12E+02,8.71E-02,4.04829E-10,9.50E-27,3.50E+03,6.74E+02,-2.81E+03
30,8.64E+01,8.64E+01,-1.09E+02,3.96E+02,3.29E+01,1.11E+02,8.35E-02,8.86191E-10,1.11E-26,2.63E+03,1.15E+03,-8.92E+02
31,8.64E+01,8.64E+01,-1.10E+02,4.10E+02,2.64E+01,1.10E+02,8.08E-02,4.94233E-10,1.14E-26,-1.56E+03,6.45E+02,1.90E+03
30,8.64E+01,8.64E+01,-1.08E+02,3.76E+02,1.83E+01,1.11E+02,8.67E-02,7.83318E-10,1.02E-26,-1.70E+03,6.00E+02,1.77E+03
30,8.63E+01,8.63E+01,-1.09E+02,3.83E+02,2.04E+01,1.11E+02,8.46E-02,3.50285E-10,1.06E-26,-1.59E+03,5.47E+02,1.83E+03
30,8.64E+01,8.64E+01,-1.07E+02,3.13E+02,1.97E+01,1.13E+02,9.37E-02,7.6255E-10,8.67E-27,3.31E+03,6.52E+02,-2.81E+03
31,8.62E+01,8.62E+01,-1.06E+02,3.30E+02,1.52E+01,1.13E+02,0.101270097,2.57378E-11,8.14E-27,3.96E+03,4.34E+02,-3.00E+03
30,8.64E+01,8.64E+01,-1.08E+02,3.28E+02,3.77E+01,1.12E+02,8.72E-02,1.11237E-09,9.94E-27,2.67E+03,1.28E+03,-9.03E+02
31,8.64E+01,8.64E+01,-1.07E+02,3.11E+02,1.91E+01,1.12E+02,9.00E-02,5.37209E-10,8.89E-27,3.96E+03,6.08E+02,-2.99E+03
30,8.63E+01,8.63E+01,-1.08E+02,4.01E+02,1.86E+01,1.13E+02,0.105341863,5.21497E-10,8.62E-27,3.37E+03,5.70E+02,-2.89E+03
31,8.64E+01,8.64E+01,-1.08E+02,4.08E+02,2.19E+01,1.13E+02,0.109007658,6.99536E-10,8.44E-27,3.49E+03,6.44E+02,-2.72E+03
31,8.64E+01,8.64E+01,-1.08E+02,3.31E+02,1.89E+01,1.12E+02,8.91E-02,1.08908E-09,9.34E-27,3.30E+03,7.20E+02,-2.90E+03
31,8.63E+01,8.63E+01,-1.07E+02,3.85E+02,1.99E+01,1.13E+02,0.110009285,4.02398E-10,8.19E-27,3.50E+03,5.68E+02,-2.99E+03
30,8.64E+01,8.64E+01,-1.08E+02,3.35E+02,2.20E+01,1.12E+02,9.18E-02,5.01142E-10,9.25E-27,3.52E+03,6.27E+02,-2.74E+03
31,8.63E+01,8.63E+01,-1.06E+02,2.98E+02,1.78E+01,1.13E+02,9.55E-02,3.64298E-10,8.13E-27,3.34E+03,5.47E+02,-2.77E+03
31,8.63E+01,8.63E+01,-1.07E+02,3.85E+02,1.61E+01,1.13E+02,0.104943333,4.94202E-10,8.48E-27,3.43E+03,5.36E+02,-2.84E+03
31,8.63E+01,8.63E+01,-1.09E+02,4.80E+02,3.06E+01,1.13E+02,0.113698561,3.06446E-10,8.32E-27,3.48E+03,6.67E+02,-2.66E+03
31,8.64E+01,8.64E+01,-1.08E+02,3.31E+02,3.67E+01,1.12E+02,8.34E-02,7.53243E-10,1.03E-26,2.67E+03,1.19E+03,-8.90E+02
30,8.64E+01,8.64E+01,-1.08E+02,3.53E+02,2.10E+01,1.12E+02,8.97E-02,8.76399E-10,9.73E-27,-1.76E+03,6.54E+02,1.91E+03
31,8.63E+01,8.63E+01,-1.08E+02,3.86E+02,2.71E+01,1.13E+02,0.109549394,5.88851E-10,8.36E-27,3.50E+03,6.89E+02,-2.72E+03
30,8.63E+01,8.63E+01,-1.08E+02,3.48E+02,1.93E+01,1.12E+02,9.08E-02,3.72614E-10,9.47E-27,-1.55E+03,5.38E+02,1.82E+03
30,8.64E+01,8.64E+01,-1.08E+02,3.66E+02,2.81E+01,1.12E+02,8.66E-02,9.38848E-10,1.04E-26,2.47E+03,1.21E+03,-8.93E+02
31,8.63E+01,8.63E+01,-1.07E+02,2.94E+02,2.08E+01,1.13E+02,9.47E-02,3.86009E-10,8.21E-27,4.00E+03,5.98E+02,-3.01E+03
30,8.64E+01,8.64E+01,-1.08E+02,4.54E+02,3.51E+01,1.13E+02,0.107344518,1.04053E-09,8.97E-27,2.58E+03,1.20E+03,-8.92E+02
31,8.64E+01,8.64E+01,-1.10E+02,4.06E+02,2.15E+01,1.10E+02,7.92E-02,5.71725E-10,1.14E-26,3.39E+03,6.39E+02,-2.71E+03
31,8.63E+01,8.63E+01,-1.07E+02,3.12E+02,2.23E+01,1.13E+02,0.100050162,4.05099E-10,8.30E-27,-1.58E+03,5.80E+02,1.78E+03
31,8.64E+01,8.64E+01,-1.09E+02,3.81E+02,3.26E+01,1.11E+02,8.03E-02,8.14427E-10,1.13E-26,2.60E+03,1.17E+03,-8.81E+02
30,8.63E+01,8.63E+01,-1.10E+02,4.19E+02,2.66E+01,1.10E+02,8.39E-02,1.72856E-10,1.10E-26,-1.66E+03,5.78E+02,1.84E+03
31,8.64E+01,8.64E+01,-1.07E+02,3.58E+02,1.62E+01,1.13E+02,0.104922859,1.0157E-09,8.29E-27,3.45E+03,6.32E+02,-2.88E+03
30,8.64E+01,8.64E+01,-1.08E+02,3.41E+02,3.38E+01,1.12E+02,8.59E-02,1.10128E-09,1.02E-26,2.54E+03,1.12E+03,-9.15E+02
31,8.63E+01,8.63E+01,-1.07E+02,3.04E+02,2.10E+01,1.13E+02,9.17E-02,4.85876E-10,8.64E-27,3.38E+03,6.15E+02,-2.73E+03
31,8.63E+01,8.63E+01,-1.08E+02,4.20E+02,2.82E+01,1.13E+02,0.11336643,5.20208E-10,8.19E-27,3.46E+03,6.84E+02,-2.64E+03
31,8.63E+01,8.63E+01,-1.05E+02,3.24E+02,1.37E+01,1.13E+02,9.67E-02,8.89691E-10,8.37E-27,-1.63E+03,5.51E+02,1.82E+03
30,8.63E+01,8.63E+01,-1.08E+02,3.38E+02,1.91E+01,1.12E+02,9.25E-02,3.4003E-10,9.08E-27,3.98E+03,5.60E+02,-3.02E+03
30,8.64E+01,8.64E+01,-1.09E+02,3.78E+02,3.76E+01,1.11E+02,8.44E-02,3.63231E-10,1.08E-26,2.54E+03,1.17E+03,-8.71E+02
31,8.64E+01,8.64E+01,-1.09E+02,3.52E+02,3.93E+01,1.11E+02,8.14E-02,7.3033E-10,1.09E-26,2.67E+03,1.20E+03,-8.93E+02
30,8.63E+01,8.63E+01,-1.07E+02,3.30E+02,2.14E+01,1.12E+02,9.14E-02,9.19237E-10,9.24E-27,-1.69E+03,6.66E+02,1.72E+03
30,8.63E+01,8.63E+01,-1.08E+02,3.12E+02,2.53E+01,1.12E+02,9.21E-02,3.29802E-10,8.85E-27,3.53E+03,6.33E+02,-2.63E+03
30,8.63E+01,8.63E+01,-1.09E+02,3.79E+02,2.23E+01,1.11E+02,8.65E-02,8.34818E-10,1.03E-26,3.48E+03,7.05E+02,-2.77E+03
30,8.63E+01,8.63E+01,-1.12E+02,4.66E+02,3.12E+01,1.10E+02,8.18E-02,7.71728E-10,1.16E-26,3.50E+03,8.03E+02,-2.63E+03
30,8.63E+01,8.63E+01,-1.07E+02,4.13E+02,2.82E+01,1.13E+02,0.109338129,1.35347E-09,8.59E-27,2.55E+03,1.09E+03,-8.97E+02
31,8.63E+01,8.63E+01,-1.05E+02,3.02E+02,1.41E+01,1.13E+02,9.41E-02,6.91201E-10,8.07E-27,3.46E+03,5.64E+02,-3.02E+03
31,8.63E+01,8.63E+01,-1.06E+02,4.18E+02,3.04E+01,1.14E+02,0.116482353,9.33343E-10,8.07E-27,2.64E+03,1.34E+03,-8.71E+02
30,8.63E+01,8.63E+01,-1.08E+02,4.10E+02,2.03E+01,1.12E+02,0.104523736,7.44409E-10,8.75E-27,3.48E+03,6.34E+02,-2.73E+03
31,8.63E+01,8.63E+01,-1.07E+02,3.28E+02,2.02E+01,1.13E+02,0.103930815,7.95051E-10,8.13E-27,3.28E+03,6.50E+02,-2.73E+03
30,8.63E+01,8.63E+01,-1.09E+02,4.45E+02,2.59E+01,1.12E+02,0.105992869,5.72664E-10,8.82E-27,3.25E+03,6.65E+02,-2.82E+03
31,8.62E+01,8.62E+01,-1.09E+02,3.74E+02,1.83E+01,1.10E+02,8.29E-02,4.5779E-11,1.04E-26,3.83E+03,4.74E+02,-3.12E+03
30,8.64E+01,8.64E+01,-1.11E+02,5.25E+02,3.80E+01,1.10E+02,7.70E-02,6.11652E-10,1.27E-26,2.60E+03,1.23E+03,-8.74E+02
31,8.63E+01,8.63E+01,-1.11E+02,4.47E+02,2.54E+01,1.09E+02,7.89E-02,1.04187E-10,1.18E-26,3.31E+03,5.65E+02,-2.77E+03
30,8.63E+01,8.63E+01,-1.10E+02,3.97E+02,2.99E+01,1.11E+02,8.36E-02,5.90143E-10,1.09E-26,-1.75E+03,7.06E+02,1.81E+03
31,8.63E+01,8.63E+01,-1.08E+02,5.09E+02,2.84E+01,1.13E+02,0.116850741,5.10298E-10,8.06E-27,3.50E+03,6.80E+02,-2.66E+03
31,8.63E+01,8.63E+01,-1.07E+02,4.20E+02,3.30E+01,1.14E+02,0.1142941,8.45086E-10,8.25E-27,2.60E+03,1.20E+03,-8.74E+02
31,8.62E+01,8.62E+01,-1.08E+02,3.37E+02,2.91E+01,1.13E+02,0.102500007,1.76951E-10,8.46E-27,3.31E+03,6.27E+02,-2.78E+03
31,8.63E+01,8.63E+01,-1.06E+02,3.85E+02,3.40E+01,1.14E+02,0.115298339,1.67773E-10,8.05E-27,2.69E+03,1.22E+03,-8.65E+02
30,8.63E+01,8.63E+01,-1.10E+02,4.13E+02,2.67E+01,1.10E+02,8.54E-02,3.49699E-10,1.07E-26,3.49E+03,6.47E+02,-2.61E+03
30,8.63E+01,8.63E+01,-1.08E+02,4.16E+02,2.79E+01,1.13E+02,0.108476084,7.67141E-10,8.57E-27,-1.76E+03,6.93E+02,1.81E+03
31,8.63E+01,8.63E+01,-1.10E+02,4.26E+02,3.04E+01,1.10E+02,7.72E-02,9.84632E-10,1.21E-26,2.65E+03,1.30E+03,-8.82E+02
30,8.63E+01,8.63E+01,-1.08E+02,3.90E+02,2.37E+01,1.13E+02,0.102810416,9.65546E-10,8.88E-27,-1.74E+03,6.82E+02,1.84E+03
30,8.62E+01,8.62E+01,-1.08E+02,3.46E+02,2.81E+01,1.12E+02,0.100968193,7.24004E-11,8.65E-27,3.66E+03,5.91E+02,-2.69E+03
30,8.63E+01,8.63E+01,-1.07E+02,3.70E+02,1.77E+01,1.12E+02,9.89E-02,8.39484E-10,8.86E-27,3.51E+03,6.26E+02,-2.73E+03
31,8.63E+01,8.63E+01,-1.06E+02,2.98E+02,1.84E+01,1.13E+02,9.31E-02,6.80679E-10,8.29E-27,3.58E+03,6.27E+02,-2.75E+03
30,8.63E+01,8.63E+01,-1.08E+02,3.96E+02,2.56E+01,1.13E+02,0.105488724,5.14457E-10,8.70E-27,-1.50E+03,6.25E+02,1.86E+03
31,8.63E+01,8.63E+01,-1.07E+02,3.27E+02,3.07E+01,1.12E+02,8.44E-02,9.80972E-10,1.00E-26,2.68E+03,1.20E+03,-8.95E+02
30,8.63E+01,8.63E+01,-1.09E+02,3.84E+02,2.20E+01,1.11E+02,8.70E-02,4.01931E-10,1.02E-26,3.36E+03,6.01E+02,-2.85E+03
31,8.64E+01,8.64E+01,-1.08E+02,3.53E+02,4.03E+01,1.11E+02,8.33E-02,9.26879E-11,1.05E-26,2.61E+03,1.31E+03,-8.69E+02
31,8.62E+01,8.62E+01,-1.08E+02,3.55E+02,2.89E+01,1.13E+02,0.107779143,3.14173E-10,8.24E-27,3.19E+03,6.52E+02,-2.80E+03
30,8.63E+01,8.63E+01,-1.10E+02,4.68E+02,2.93E+01,1.10E+02,8.24E-02,8.49565E-10,1.16E-26,2.62E+03,1.17E+03,-8.81E+02
31,8.63E+01,8.63E+01,-1.09E+02,3.51E+02,2.42E+01,1.11E+02,8.51E-02,5.1266E-10,9.99E-27,3.47E+03,6.60E+02,-2.92E+03
31,8.63E+01,8.63E+01,-1.09E+02,3.28E+02,2.55E+01,1.12E+02,8.75E-02,3.35555E-10,9.47E-27,3.30E+03,6.32E+02,-2.81E+03
31,8.63E+01,8.63E+01,-1.09E+02,4.28E+02,2.54E+01,1.10E+02,7.98E-02,8.0934E-10,1.16E-26,2.63E+03,1.35E+03,-8.75E+02
30,8.63E+01,8.63E+01,-1.08E+02,4.04E+02,2.44E+01,1.12E+02,0.102972949,3.89747E-10,8.87E-27,3.66E+03,6.24E+02,-2.69E+03
30,8.63E+01,8.63E+01,-1.10E+02,3.93E+02,2.61E+01,1.10E+02,8.46E-02,3.10117E-10,1.06E-26,3.31E+03,6.28E+02,-2.80E+03
31,8.63E+01,8.63E+01,-1.10E+02,3.68E+02,3.00E+01,1.10E+02,8.13E-02,3.69777E-10,1.08E-26,3.48E+03,6.94E+02,-2.63E+03
31,8.63E+01,8.63E+01,-1.10E+02,4.41E+02,3.33E+01,1.10E+02,7.76E-02,8.59332E-10,1.21E-26,2.59E+03,1.17E+03,-8.85E+02
31,8.63E+01,8.63E+01,-1.11E+02,4.36E+02,2.88E+01,1.10E+02,7.99E-02,5.14399E-10,1.16E-26,3.48E+03,7.13E+02,-2.66E+03
30,8.63E+01,8.63E+01,-1.07E+02,3.61E+02,1.93E+01,1.13E+02,0.103279506,1.09837E-09,8.49E-27,3.50E+03,6.97E+02,-2.65E+03
31,8.63E+01,8.63E+01,-1.07E+02,3.51E+02,1.67E+01,1.13E+02,0.10138006,5.04905E-10,8.41E-27,3.46E+03,5.50E+02,-2.90E+03
30,8.63E+01,8.63E+01,-1.09E+02,3.64E+02,3.90E+01,1.11E+02,8.50E-02,4.30416E-10,1.06E-26,2.66E+03,1.20E+03,-8.79E+02
30,8.62E+01,8.62E+01,-1.09E+02,3.73E+02,2.85E+01,1.12E+02,0.101172809,1.91461E-10,8.87E-27,3.30E+03,6.22E+02,-2.81E+03
31,8.63E+01,8.63E+01,-1.07E+02,3.90E+02,1.66E+01,1.13E+02,0.107078663,6.52334E-10,8.30E-27,3.32E+03,5.65E+02,-2.81E+03
31,8.63E+01,8.63E+01,-1.11E+02,4.65E+02,3.90E+01,1.10E+02,7.64E-02,3.0986E-10,1.25E-26,2.56E+03,1.16E+03,-8.66E+02
31,8.62E+01,8.62E+01,-1.08E+02,3.91E+02,2.16E+01,1.13E+02,0.106365174,3.76128E-10,8.46E-27,3.43E+03,5.84E+02,-2.79E+03
31,8.63E+01,8.63E+01,-1.11E+02,4.53E+02,2.48E+01,1.09E+02,7.98E-02,1.05326E-09,1.17E-26,3.46E+03,8.00E+02,-2.73E+03
30,8.63E+01,8.63E+01,-1.09E+02,3.88E+02,1.89E+01,1.11E+02,8.58E-02,3.58012E-10,1.03E-26,-1.56E+03,5.29E+02,1.85E+03
31,8.62E+01,8.62E+01,-1.08E+02,4.17E+02,2.49E+01,1.13E+02,0.109950351,1.14182E-10,8.32E-27,3.52E+03,5.66E+02,-2.67E+03
30,8.62E+01,8.62E+01,-1.10E+02,3.71E+02,2.33E+01,1.11E+02,8.62E-02,9.63709E-11,1.01E-26,3.95E+03,5.47E+02,-3.00E+03
31,8.63E+01,8.63E+01,-1.08E+02,3.43E+02,3.94E+01,1.11E+02,8.26E-02,1.09089E-09,1.05E-26,2.72E+03,1.20E+03,-9.41E+02
31,8.62E+01,8.62E+01,-1.08E+02,3.49E+02,2.63E+01,1.13E+02,0.105614397,2.72541E-10,8.29E-27,3.33E+03,6.18E+02,-2.79E+03
31,8.63E+01,8.63E+01,-1.09E+02,3.65E+02,4.78E+01,1.11E+02,8.33E-02,9.30297E-12,1.07E-26,2.68E+03,1.18E+03,-8.46E+02
30,8.63E+01,8.63E+01,-1.09E+02,4.26E+02,2.89E+01,1.12E+02,0.105737505,5.815E-10,8.77E-27,3.50E+03,7.08E+02,-2.65E+03
30,8.63E+01,8.63E+01,-1.08E+02,4.00E+02,1.94E+01,1.12E+02,0.105987228,9.41176E-10,8.52E-27,3.39E+03,6.55E+02,-2.91E+03
31,8.63E+01,8.63E+01,-1.07E+02,4.13E+02,1.82E+01,1.13E+02,0.110995318,7.5403E-10,8.15E-27,3.37E+03,6.00E+02,-2.80E+03
30,8.62E+01,8.62E+01,-1.09E+02,4.95E+02,3.42E+01,1.12E+02,0.107482753,2.1859E-10,8.80E-27,3.49E+03,6.85E+02,-2.66E+03
30,8.62E+01,8.62E+01,-1.07E+02,3.21E+02,1.78E+01,1.12E+02,9.40E-02,3.07638E-10,8.57E-27,3.40E+03,5.33E+02,-2.73E+03
31,8.61E+01,8.61E+01,-1.06E+02,3.34E+02,1.85E+01,1.13E+02,0.104389679,1.30993E-11,8.00E-27,3.50E+03,4.64E+02,-2.93E+03
31,8.63E+01,8.63E+01,-1.10E+02,3.99E+02,2.23E+01,1.10E+02,8.05E-02,5.40991E-10,1.10E-26,3.40E+03,6.41E+02,-2.76E+03
30,8.63E+01,8.63E+01,-1.07E+02,3.34E+02,2.37E+01,1.13E+02,0.100574965,9.38641E-10,8.53E-27,-1.76E+03,6.89E+02,1.81E+03
31,8.62E+01,8.62E+01,-1.08E+02,3.49E+02,3.32E+01,1.13E+02,0.109079151,5.73661E-10,8.18E-27,-1.75E+03,7.24E+02,1.78E+03
31,8.62E+01,8.62E+01,-1.07E+02,4.01E+02,2.09E+01,1.13E+02,0.111186565,5.70663E-10,8.12E-27,3.58E+03,6.10E+02,-2.75E+03
31,8.62E+01,8.62E+01,-1.08E+02,4.69E+02,3.47E+01,1.14E+02,0.116518243,4.85303E-10,8.05E-27,-1.80E+03,7.14E+02,1.80E+03
30,8.63E+01,8.63E+01,-1.07E+02,4.01E+02,3.73E+01,1.13E+02,0.105487522,4.88445E-10,8.85E-27,2.56E+03,1.25E+03,-8.77E+02
31,8.63E+01,8.63E+01,-1.07E+02,3.32E+02,1.80E+01,1.12E+02,8.95E-02,6.29075E-10,9.13E-27,3.31E+03,6.01E+02,-2.82E+03
30,8.63E+01,8.63E+01,-1.07E+02,4.38E+02,3.11E+01,1.13E+02,0.108211391,8.36594E-10,8.72E-27,2.45E+03,1.27E+03,-8.69E+02
30,8.63E+01,8.63E+01,-1.09E+02,3.93E+02,3.69E+01,1.11E+02,8.24E-02,9.64086E-10,1.11E-26,2.72E+03,1.15E+03,-9.14E+02
30,8.62E+01,8.62E+01,-1.10E+02,3.78E+02,2.87E+01,1.11E+02,8.72E-02,1.55152E-10,1.02E-26,3.63E+03,6.21E+02,-2.73E+03
30,8.61E+01,8.61E+01,-1.08E+02,3.49E+02,1.81E+01,1.12E+02,9.23E-02,2.26026E-11,9.07E-27,4.08E+03,4.66E+02,-2.91E+03
31,8.63E+01,8.63E+01,-1.09E+02,3.48E+02,3.91E+01,1.11E+02,8.16E-02,8.3407E-10,1.07E-26,2.68E+03,1.20E+03,-9.00E+02
30,8.63E+01,8.63E+01,-1.10E+02,4.14E+02,4.04E+01,1.10E+02,8.11E-02,5.96976E-10,1.15E-26,2.58E+03,1.21E+03,-8.86E+02
31,8.63E+01,8.63E+01,-1.05E+02,3.13E+02,1.32E+01,1.13E+02,9.45E-02,8.71445E-10,8.12E-27,3.49E+03,5.85E+02,-2.89E+03
30,8.62E+01,8.62E+01,-1.08E+02,3.18E+02,2.54E+01,1.12E+02,9.06E-02,2.03689E-10,9.07E-27,-1.60E+03,5.77E+02,1.83E+03
31,8.62E+01,8.62E+01,-1.07E+02,3.00E+02,2.41E+01,1.13E+02,9.81E-02,3.47346E-10,8.08E-27,3.34E+03,6.18E+02,-2.79E+03
30,8.62E+01,8.62E+01,-1.07E+02,3.09E+02,2.49E+01,1.13E+02,9.29E-02,1.98423E-10,8.70E-27,-1.65E+03,5.71E+02,1.79E+03
31,8.62E+01,8.62E+01,-1.08E+02,3.83E+02,2.33E+01,1.13E+02,0.109064879,6.43118E-10,8.22E-27,3.32E+03,6.50E+02,-2.79E+03
30,8.63E+01,8.63E+01,-1.07E+02,3.70E+02,1.64E+01,1.12E+02,0.100170793,1.06458E-09,8.65E-27,3.50E+03,6.51E+02,-2.84E+03
31,8.63E+01,8.63E+01,-1.06E+02,3.75E+02,1.75E+01,1.13E+02,0.11019221,1.29355E-09,8.02E-27,-1.64E+03,6.43E+02,1.84E+03
31,8.62E+01,8.62E+01,-1.09E+02,3.71E+02,2.42E+01,1.11E+02,8.48E-02,5.41615E-10,1.03E-26,-1.74E+03,6.31E+02,1.81E+03
30,8.62E+01,8.62E+01,-1.08E+02,3.23E+02,2.31E+01,1.12E+02,9.32E-02,6.36564E-10,8.84E-27,3.24E+03,6.66E+02,-2.74E+03
31,8.63E+01,8.63E+01,-1.10E+02,4.05E+02,3.65E+01,1.10E+02,7.75E-02,9.13595E-10,1.18E-26,2.48E+03,1.27E+03,-8.86E+02
31,8.63E+01,8.63E+01,-1.09E+02,4.14E+02,2.82E+01,1.10E+02,7.82E-02,5.37329E-10,1.17E-26,2.46E+03,1.28E+03,-8.65E+02
30,8.63E+01,8.63E+01,-1.07E+02,3.78E+02,3.00E+01,1.13E+02,0.106454711,1.25178E-09,8.59E-27,2.63E+03,1.09E+03,-9.09E+02
31,8.62E+01,8.62E+01,-1.06E+02,3.16E+02,1.56E+01,1.13E+02,9.35E-02,4.23592E-10,8.37E-27,3.44E+03,5.29E+02,-2.96E+03
30,8.63E+01,8.63E+01,-1.09E+02,4.25E+02,2.47E+01,1.11E+02,8.43E-02,8.34107E-10,1.10E-26,2.63E+03,1.15E+03,-8.81E+02
31,8.62E+01,8.62E+01,-1.10E+02,3.61E+02,2.41E+01,1.10E+02,8.26E-02,8.28631E-11,1.03E-26,4.06E+03,5.54E+02,-3.03E+03
31,8.62E+01,8.62E+01,-1.07E+02,3.50E+02,1.79E+01,1.13E+02,0.102583639,8.28143E-10,8.30E-27,3.33E+03,6.23E+02,-2.67E+03
31,8.62E+01,8.62E+01,-1.08E+02,3.67E+02,1.86E+01,1.11E+02,8.41E-02,8.21469E-10,1.02E-26,-1.72E+03,6.16E+02,1.77E+03
31,8.62E+01,8.62E+01,-1.09E+02,3.50E+02,2.35E+01,1.11E+02,8.77E-02,3.49134E-10,9.64E-27,3.30E+03,6.09E+02,-2.81E+03
30,8.61E+01,8.61E+01,-1.08E+02,4.03E+02,2.33E+01,1.12E+02,0.102839414,1.8811E-10,8.82E-27,-1.60E+03,5.44E+02,1.84E+03
30,8.63E+01,8.63E+01,-1.07E+02,4.69E+02,3.24E+01,1.13E+02,0.11102381,9.29407E-10,8.54E-27,2.56E+03,1.29E+03,-8.71E+02
31,8.62E+01,8.62E+01,-1.07E+02,3.07E+02,2.11E+01,1.12E+02,9.09E-02,5.96057E-10,8.62E-27,3.20E+03,6.36E+02,-2.75E+03
30,8.63E+01,8.63E+01,-1.09E+02,4.05E+02,3.22E+01,1.11E+02,8.48E-02,8.50363E-10,1.08E-26,2.65E+03,1.20E+03,-8.83E+02
31,8.62E+01,8.62E+01,-1.09E+02,3.39E+02,2.69E+01,1.11E+02,8.63E-02,1.40105E-10,9.70E-27,3.67E+03,6.01E+02,-2.68E+03
30,8.62E+01,8.62E+01,-1.07E+02,3.42E+02,2.04E+01,1.13E+02,9.81E-02,1.1189E-09,8.71E-27,-1.77E+03,6.81E+02,1.87E+03
31,8.62E+01,8.62E+01,-1.08E+02,3.43E+02,3.14E+01,1.13E+02,0.105892994,4.83772E-10,8.28E-27,-1.75E+03,6.90E+02,1.82E+03
31,8.62E+01,8.62E+01,-1.10E+02,4.03E+02,2.23E+01,1.10E+02,8.05E-02,6.94621E-10,1.10E-26,3.51E+03,6.79E+02,-2.64E+03
30,8.62E+01,8.62E+01,-1.07E+02,3.37E+02,1.76E+01,1.12E+02,9.17E-02,9.40621E-10,8.97E-27,3.44E+03,6.61E+02,-2.87E+03
30,8.61E+01,8.61E+01,-1.09E+02,4.48E+02,2.76E+01,1.12E+02,0.108231302,2.26565E-10,8.53E-27,3.59E+03,6.21E+02,-2.71E+03
30,8.62E+01,8.62E+01,-1.08E+02,3.93E+02,2.15E+01,1.12E+02,0.103355499,2.39647E-10,8.63E-27,3.39E+03,5.55E+02,-2.89E+03
30,8.62E+01,8.62E+01,-1.08E+02,4.34E+02,2.41E+01,1.12E+02,0.108728852,8.74854E-10,8.45E-27,3.53E+03,7.03E+02,-2.64E+03
31,8.62E+01,8.62E+01,-1.08E+02,3.35E+02,3.01E+01,1.13E+02,0.106474256,5.21171E-10,8.06E-27,3.34E+03,7.14E+02,-2.75E+03
30,8.62E+01,8.62E+01,-1.09E+02,3.51E+02,2.36E+01,1.11E+02,8.76E-02,1.66334E-10,9.67E-27,3.97E+03,5.72E+02,-3.01E+03
31,8.62E+01,8.62E+01,-1.11E+02,4.08E+02,2.86E+01,1.10E+02,7.98E-02,2.28479E-10,1.12E-26,3.28E+03,6.35E+02,-2.88E+03
31,8.63E+01,8.63E+01,-1.11E+02,4.45E+02,3.84E+01,1.09E+02,7.58E-02,8.29784E-10,1.23E-26,2.53E+03,1.18E+03,-8.87E+02
